SAITE,klase,tēma,nodarbība,aktivitāte,Nosaukums,Apraksts,Resursa veids,Video ilgums ,Resursa avots,SKOLA2030 VĒRTĪBAS,SKOLA2030 tikumi,e-TAP vērtības,e-TAP tikumi,citi komentāri
https://registri.visc.gov.lv/vispizglitiba/saturs/dokumenti/metmat/vertibizglitiba/default.html ,1. klase,Draudzība,1. nodarbība: Kādas īpašības piemīt labam draugam?,2. aktivitāte. Draudzības recepte.,Interaktīvs mācību līdzeklis - vērtībizglītība.,2. aktivitāte. Draudzības recepte.,"Tiešsaistes spēle - cits
;",0,VISC,cieņa; ģimene ,godīgums; savaldība ,cilvēks kā persona; mīlestība; saskaņa ,draudzīgums; pateicīgums ,
https://www.youtube.com/watch?v=Cjh10ddUu98,1. klase,Kopienas,3. nodarbība: Dzīvot daudzveidīgā kopienā,"2. aktivitāte. “Nenovērsies, atbalsti!”.","Nenovērsies, atbalsti!","2. aktivitāte. “Nenovērsies, atbalsti!”.","Video - dokumentāla filma
;",12,"Filma pieder Žmonių su Dauno sindromu ir jų globėjų asociacija. Latviešu valodā ierunājis Andris Keišs. Ieskaņots studijā ""Marana Productions"". Tulkojusi Velga Polinska.",cieņa ,tolerance ,saskaņa; rūpes ,atvērtība jaunajam; draudzīgums ,
https://www.youtube.com/watch?v=PMH0RwtVb3A ,1. klase,Uzturs,1. nodarbība: Kas ir sabalansēts uzturs?,Papildmateriāli,Kā uzsākt sabalansēta uztura dzīvesveidu?,Papildmateriāli,"Video - intervija, saruna
;",25,"(Ieteikumu nav) kanāls ""VeseLīga""",dzīvība (veselība) ,atbildība; mērenība ,rūpes; atbildība ,pārliecinātība; kritiskā spriestspēja ,
https://www.youtube.com/watch?v=5hCIlZ2rTMc,1. klase,Uzturs,1. nodarbība: Kas ir sabalansēts uzturs?,Papildmateriāli,"Ko vislabāk ēst brokastīs, ko pusdienās un ko vakariņās?",Papildmateriāli,"Video - intervija, saruna
;",25,Rimi Latvija,dzīvība (veselība) ,atbildība; savaldība; mērenība ,rūpes; atbildība ,neatlaidība (noturība); pārliecinātība; kritiskā spriestspēja ,Papildus varat noskatīties “Kā uzbūvēt pašam savu uztura piramīdu?” (23.34 min.) https://www.youtube.com/watch?v=3c76OadqhQc
https://www.esparveselibu.lv/sites/default/files/2019-12/VeselsBerns_web_0.pdf,1. klase,Uzturs,1. nodarbība: Kas ir sabalansēts uzturs?,Tikumu praktizēšanas iespējas,Vesels bērns,Tikumu praktizēšanas iespējas,PDF - informatīvs materiāls;,0,Veselības ministrija,dzīvība (veselība) ,atbildība; gudrība ,rūpes; atbildība ,kritiskā spriestspēja; zinātkāre; pašvadība ,"Aktuālākā sadaļa ""Veselīgs uzturs"" skatāma 7.-26. lpp. "
https://www.youtube.com/watch?v=N989KXM2QwA&ab_channel=MadaraVildere,1. klase,Uzturs,2. nodarbība: Ieguvumi no veselīga uztura,Ierosme. Ieguvumi no sabalansēta uztura.,Veselīgs uzturs.,Ierosme. Ieguvumi no sabalansēta uztura.,"Video - multiplikācijas īsfilma
;",3,Madara Vildere,dzīvība (veselība) ,mērenība; savaldība ,rūpes; atbildība ,pašiedziļināšanās; kritiskā spriestspēja ,
https://www.youtube.com/watch?v=hooMxqwysZM,1. klase,Uzturs,2. nodarbība: Ieguvumi no veselīga uztura,Ierosme. Ieguvumi no sabalansēta uztura.,"Vai bērni zina, kas ir veselīgs uzturs?",Ierosme. Ieguvumi no sabalansēta uztura.,"Video - intervija, saruna
;",4,LIDO,dzīvība (veselība) ,gudrība; mērenība ,rūpes; atbildība ,pašiedziļināšanās; kritiskā spriestspēja ,
https://www.youtube.com/watch?v=QkdAxlo0WSo ,1. klase,Uzturs,2. nodarbība: Ieguvumi no veselīga uztura,Papildmateriāli,Bērnu ēšanas paradumu ietekme uz veselību,Papildmateriāli,"Video - intervija, saruna
;",3,Rīta panorāma,dzīvība (veselība) ,atbildība; mērenība ,atbildība ,pašiedziļināšanās; kritiskā spriestspēja ,
https://www.esparveselibu.lv/sites/default/files/2019-12/VeselsBerns_web_0.pdf,2. klase,Kaitīgas vielas,1. nodarbība: Kas ir kaitīgas vielas?,Papildmateriāli,"Veselības ministrijas materiāls ""Vesels bērns""",Papildmateriāli,Informatīvais materiāls pdf;,15,Veselības ministrija,dzīvība (veselība); brīvība ,atbildība; gudrība; mērenība; savaldība ,rūpes; brīvība; atbildība; harmonija ,pārliecinātība; apņēmīgums; pazemība; kritiskā spriestspēja; pašiedziļināšanās; pašvadība ,
https://www.youtube.com/watch?v=dn1QdVaWN_Y,2. klase,Kaitīgas vielas,2. nodarbība: Kādi ir riski?,Papildmateriāli,Kas paliek plaušās pēc vienas cigaretes izsmēķēšanas??,Papildmateriāli,"Video - intervija, saruna
;",2,"YouTube kanāls  ""Be Aware""",dzīvība (veselība) ,atbildība; gudrība ,rūpes; atbildība; harmonija ,pārliecinātība; zinātkāre; kritiskā spriestspēja ,
https://www.youtube.com/watch?v=sCXsPg2Njmg,2. klase,Kaitīgas vielas,3. nodarbība: Pareiza izvēle,Papildmateriāli,"Kampaņas ""Spēks pateikt NĒ!"" reklāmas klips (ar subtitriem)",Papildmateriāli,"Video - dokumentāla filma
;",1,Veselības ministrija,dzīvība (veselība); brīvība ,atbildība; drosme; mērenība; savaldība ,cieņa; brīvība; atbildība; miers; patiesība ,pārliecinātība; apņēmīgums; kritiskā spriestspēja; pašvadība ,
https://www.youtube.com/watch?v=1iuZuqQze5E,2. klase,Kaitīgas vielas,3. nodarbība: Pareiza izvēle,,"Kampaņas ""Spēks pateikt NĒ!"" reklāmas klips (pret smēķēšanu)",,"Video - intervija, saruna
;",1, Veselības ministrija ,dzīvība (veselība); brīvība ,atbildība; gudrība; drosme; mērenība; savaldība ,rūpes; brīvība; atbildība; harmonija ,pārliecinātība; kritiskā spriestspēja; pašiniciatīva; pašvadība ,
https://quizizz.com/admin/quiz/5c55a0f61eb942001ecbb705/iepaz%C4%ABsti-profesiju-pasauli,2. klase,Karjera,1. nodarbība: Kāpēc cilvēki strādā?,Kopīgā noslēguma apspriede. Pēc 10 gadiem,Viktorīna “Iepazīsti profesiju pasauli!”,Kopīgā noslēguma apspriede. Pēc 10 gadiem,Tiešsaistes spēle - Viktorīna;,10,quizizz.com,darbs ,gudrība; centība ,atbildība; harmonija ,pašiniciatīva; pārliecinātība; atvērtība jaunajam; pašiedziļināšanās ,
https://skaties.lv/zinas/latvija/sabiedriba/spej-vins-spej-vina-ar-kampanu-latvija-uzsak-cinu-pret-dzimumu-stereotipiem/,2. klase,Karjera,"2. nodarbība - Vai ir tādi darbi, kas paredzēti zēniem, un darbi, kas paredzēti meitenēm?",2. aktivitāte. Vienādojums ar nezināmajiem,SIF projekts “Spēj viņa = spēj viņš” mājas lapa ar TV3 sižetu,202. gada marta kampaņas mājas lapa cīņā pret dzimumu stereotipiem profesijas izvēlē. Satur pētījuma informāciju un arī 3 minūšu gars TV3 sižetu par šo tēmu,"Mājas lapa
;",5,skaties.lv,brīvība; darbs ,taisnīgums; solidaritāte; godīgums ,vienlīdzība; cilvēks kā persona; cieņa; brīvība; saskaņa ,pārliecinātība; atvērtība jaunajam; pašiedziļināšanās; līdzdalīgums ,
